o:id,skos:prefLabel,dcterms:isReferencedBy ^^uri,skos:notation,skos:altLabel @fr,skos:altLabel @en,skos:scopeNote @fr,skos:scopeNote @en,skos:broader ^^resource,skos:narrower ^^resource,skos:related ^^resource
2303,Learning disabilities,http://vocabularies.unesco.org/thesaurus/concept8024,1.05,Trouble d'apprentissage,Learning disabilities,,,2301,1163,3886|3752|2545
3593,School discipline,http://vocabularies.unesco.org/thesaurus/concept8159,1.05,Discipline scolaire,School discipline,,,1267,3605|3606,1314|3608|3960|4029
1163,Dyslexia,http://vocabularies.unesco.org/thesaurus/concept8211,1.05,Dyslexie,Dyslexia,,,2303,,3360|3696
4230,Truancy,http://vocabularies.unesco.org/thesaurus/concept8664,1.05,École buissonnière,Truancy,,,3608,,3947|1252
4025,Teacher administration relationship,http://vocabularies.unesco.org/thesaurus/concept9148,1.05,Relation enseignant-administration,Teacher administration relationship,,,1267,,4032|1246|2155
2985,Parent school relationship,http://vocabularies.unesco.org/thesaurus/concept9184,1.05,Relation parents-école,Parent school relationship,,,1267,2987,1314|2982|2155|2983|2984|2988
3014,Peer relationship,http://vocabularies.unesco.org/thesaurus/concept9185,1.05,Relations entre pairs,Peer relationship,,,1267,506,1314|3015|2155
3608,School student relationship,http://vocabularies.unesco.org/thesaurus/concept9186,1.05,Relation étudiant-école,School student relationship,,,1267,3945|4230,3593|3605|3606|3947|3956|3960
1314,Educational psychosociology,http://vocabularies.unesco.org/thesaurus/concept9188,1.05,Psychosociologie de l'éducation,Educational psychosociology,,,1323,,1267|3795|1313|1324|2985|3014|3592|3593|3947|4030
1321,Educational research,http://vocabularies.unesco.org/thesaurus/concept9197,1.05,Recherche pédagogique,Educational research,,,1323,754|970|3368,1269|1297|1270|1284
1283,Educational history,http://vocabularies.unesco.org/thesaurus/concept9250,1.05,Histoire de l'éducation,Educational history,,,1323,,
